ticket_id,member_id,contact_date,channel,issue_category,resolution_time_hours,first_contact_resolution,escalated,csat_score,repeat_contact_flag
40,107026,2024-10-04,Chat,Billing,11.4,1,0,5,0
41,94001,2024-08-01,Chat,Sync Issues,31.9,1,0,5,0
42,97098,2024-11-05,Phone,Strap Replacement,18.2,1,0,5,0
43,164938,2024-12-21,Phone,Battery Drain,47.4,1,1,5,0
44,189026,2024-07-10,Chat,Onboarding/Setup,4.6,1,0,5,0
45,197992,2024-05-04,Chat,App Bug,44.7,1,1,4,0
46,118635,2024-09-05,Chat,Shipping Delay,26.3,1,0,5,0
47,140041,2024-12-26,Phone,Sync Issues,44.5,0,0,5,1
48,188574,2024-03-03,Chat,Sync Issues,35.9,1,0,5,0
49,186557,2024-04-28,Chat,Billing,16.9,1,0,4,0
50,199577,2024-06-16,Email,Battery Drain,42.2,1,1,4,0
51,9333,2024-03-22,Chat,Sync Issues,35.2,1,0,5,0
52,6753,2024-08-16,Chat,Onboarding/Setup,5.4,1,0,3,0
53,116140,2024-11-12,Email,Shipping Delay,11.8,1,0,5,0
54,23713,2024-07-20,Chat,Onboarding/Setup,15.0,1,0,5,0
55,172753,2024-02-08,Phone,Billing,18.1,1,0,5,0
56,152240,2024-02-27,Phone,Strap Replacement,7.6,1,0,5,0
57,25293,2024-09-09,Email,Billing,20.8,1,0,5,0
58,25228,2024-11-13,Chat,Sync Issues,46.5,0,1,4,1
59,21101,2024-09-09,Chat,Sync Issues,59.5,0,0,4,1
60,68369,2024-06-25,Email,Onboarding/Setup,6.6,1,1,5,0
61,168999,2024-12-11,Email,Sync Issues,11.3,1,1,4,0
62,60004,2024-11-29,Chat,App Bug,34.3,0,0,4,1
63,140844,2024-06-23,Chat,Strap Replacement,14.0,1,0,5,0
64,110210,2024-08-18,Chat,App Bug,43.5,1,1,2,0
65,120617,2024-10-25,Email,Sync Issues,42.9,1,0,5,0
66,10124,2024-07-03,Chat,Battery Drain,56.0,0,0,5,1
67,135298,2024-03-03,Chat,Strap Replacement,10.0,1,0,5,0
68,90195,2024-06-18,Phone,App Bug,33.1,1,1,5,0
69,27926,2024-11-01,Chat,Strap Replacement,12.6,1,0,4,0
70,111084,2024-05-20,Email,Battery Drain,56.3,1,0,4,0
71,121912,2024-11-08,Phone,App Bug,33.7,0,0,4,1
72,23835,2024-10-28,Chat,Shipping Delay,22.1,0,0,5,1
73,100072,2024-10-18,Chat,Strap Replacement,6.0,1,0,5,0
74,68286,2024-08-17,Chat,App Bug,39.8,1,0,5,0
75,150473,2024-03-25,Chat,Billing,17.0,1,0,5,0
76,100911,2024-10-17,Chat,App Bug,61.4,1,0,4,0
77,6687,2024-11-01,Chat,Shipping Delay,28.4,0,0,5,1
78,60794,2024-08-27,Chat,Sync Issues,25.5,0,0,5,1
79,112637,2024-02-05,Email,Battery Drain,66.7,1,0,4,0
80,83568,2024-03-13,Chat,Sync Issues,46.6,1,0,5,0
81,53412,2024-12-11,Email,App Bug,38.9,1,1,5,0
82,82913,2024-01-28,Chat,Battery Drain,65.8,1,0,5,0
83,65560,2024-06-29,Chat,Sync Issues,38.3,1,1,5,0
84,18663,2024-02-08,Chat,Billing,14.8,1,0,5,0
85,139368,2024-05-15,Phone,Billing,17.2,1,0,5,0
86,117600,2024-06-17,Email,Billing,21.4,0,0,4,1
87,106105,2024-05-20,Email,Strap Replacement,5.5,1,0,5,0
88,14812,2024-08-18,Chat,Strap Replacement,22.0,1,1,5,0
89,133969,2024-12-28,Chat,Onboarding/Setup,3.2,1,0,5,0
90,116104,2024-08-27,Chat,Billing,18.3,1,0,4,0
91,161221,2024-03-11,Email,Sync Issues,13.2,0,0,5,1
92,16575,2024-03-22,Chat,Battery Drain,51.6,1,0,4,0
93,64847,2024-01-08,Phone,Battery Drain,25.6,1,1,4,0
94,107825,2024-02-19,Email,Shipping Delay,34.2,1,0,5,0
95,26383,2024-08-06,Email,Strap Replacement,6.4,1,0,5,0
96,170154,2024-09-15,Phone,Battery Drain,24.7,1,1,4,0
97,49107,2024-09-11,Email,Shipping Delay,26.5,1,0,5,0
98,57760,2024-01-27,Chat,App Bug,19.2,1,0,5,0
99,77805,2024-04-30,Chat,Battery Drain,44.4,1,1,3,0
100,16549,2024-05-24,Chat,Battery Drain,54.8,1,1,4,0
101,34938,2024-08-12,Chat,Shipping Delay,27.9,1,0,5,0
102,64097,2024-04-29,Chat,Battery Drain,53.2,1,0,5,0
103,41347,2024-07-12,Email,Sync Issues,6.7,0,0,4,1
104,84900,2024-10-27,Chat,Battery Drain,74.5,1,1,3,0
105,128096,2024-01-30,Chat,Billing,17.5,1,0,5,0
106,122434,2024-02-03,Phone,Battery Drain,49.3,0,0,5,1
107,173929,2024-03-26,Chat,Strap Replacement,19.8,1,0,5,0
108,30307,2024-07-03,Chat,Battery Drain,68.5,0,1,3,1
109,128101,2024-08-21,Chat,Billing,18.5,0,1,3,1
110,793,2024-04-24,Chat,Onboarding/Setup,11.2,1,0,5,0
111,831,2024-08-09,Chat,Sync Issues,48.9,0,0,5,1
112,168617,2024-07-21,Phone,Billing,12.2,1,0,5,0
113,75131,2024-03-11,Phone,Billing,20.4,1,0,4,0
114,91018,2024-04-16,Phone,Sync Issues,40.0,1,0,5,0
115,174336,2024-03-07,Email,Strap Replacement,15.7,1,0,5,0
116,114727,2024-03-23,Email,Sync Issues,42.3,1,1,4,0
117,138244,2024-12-01,Chat,Billing,12.6,1,0,4,0
118,160266,2024-09-18,Email,Strap Replacement,12.0,1,0,4,0
119,131497,2024-04-06,Email,Shipping Delay,27.6,0,0,5,1
120,152650,2024-10-29,Email,App Bug,61.5,1,0,4,0
121,25433,2024-01-13,Phone,Shipping Delay,27.8,0,0,5,1
122,172387,2024-02-10,Chat,App Bug,18.0,1,0,5,0
123,82776,2024-02-05,Chat,Shipping Delay,27.4,1,0,5,0
124,64391,2024-11-21,Chat,Sync Issues,57.2,1,0,4,0
125,32984,2024-09-27,Phone,Onboarding/Setup,7.5,1,0,5,0
126,38759,2024-06-26,Chat,Strap Replacement,10.2,1,1,5,0
127,30779,2024-10-24,Email,Battery Drain,50.5,0,0,4,1
128,2541,2024-01-10,Phone,Sync Issues,34.5,1,0,5,0
129,55662,2024-09-12,Email,Battery Drain,66.1,1,0,4,0
130,79212,2024-04-18,Email,Sync Issues,46.6,1,0,5,0
131,189142,2024-11-02,Chat,Billing,11.6,1,0,5,0
132,121302,2024-01-30,Chat,App Bug,53.3,0,1,2,1
133,152005,2024-05-15,Chat,Billing,19.4,1,0,5,0
134,113304,2024-08-25,Email,App Bug,54.2,0,0,3,1
135,160141,2024-02-28,Chat,Battery Drain,59.4,0,0,4,1
136,175764,2024-07-22,Chat,Onboarding/Setup,11.1,1,0,5,0
137,179685,2024-11-05,Chat,Battery Drain,52.6,1,0,4,0
138,165556,2024-06-22,Chat,Billing,11.0,1,0,5,0
139,138867,2024-01-05,Email,Battery Drain,58.9,1,0,5,0
140,99308,2024-11-23,Chat,Battery Drain,50.1,1,1,3,0
141,34195,2024-12-31,Chat,App Bug,33.6,1,1,4,0
142,24539,2024-07-20,Chat,Strap Replacement,6.5,1,0,4,0
143,187732,2024-10-04,Chat,Sync Issues,40.8,1,0,5,0
144,100116,2024-09-20,Phone,Billing,28.5,1,0,5,0
145,162016,2024-05-19,Chat,Battery Drain,36.3,0,0,5,1
146,183898,2024-03-22,Email,Sync Issues,34.8,1,0,5,0
147,15213,2024-08-16,Email,Billing,20.6,0,0,5,1
148,176172,2024-04-04,Email,Onboarding/Setup,11.0,1,0,4,0
149,56555,2024-07-17,Chat,Battery Drain,41.2,1,0,5,0
150,134816,2024-02-23,Chat,Strap Replacement,16.9,1,0,4,0
151,91796,2024-02-28,Chat,Shipping Delay,15.6,0,0,5,1
152,131782,2024-12-23,Chat,Sync Issues,34.1,0,0,4,1
153,97879,2024-12-24,Chat,App Bug,65.6,1,0,3,0
154,165807,2024-12-07,Chat,Billing,7.4,1,0,4,0
155,188796,2024-10-22,Chat,Sync Issues,53.8,1,0,3,0
156,137408,2024-05-30,Email,Billing,23.8,0,1,4,1
157,82606,2024-10-06,Email,Sync Issues,24.2,1,1,5,0
158,124839,2024-10-04,Chat,Onboarding/Setup,9.6,1,0,5,0
159,33135,2024-03-07,Chat,Strap Replacement,14.2,1,0,5,0
160,80353,2024-10-13,Chat,Shipping Delay,30.6,1,0,5,0
161,148706,2024-03-25,Chat,Strap Replacement,13.1,1,0,5,0
162,79902,2024-05-27,Email,Battery Drain,45.0,1,0,4,0
163,199336,2024-07-01,Chat,Sync Issues,32.9,0,0,4,1
164,97269,2024-06-18,Chat,Shipping Delay,8.9,1,0,5,0
165,176234,2024-06-24,Chat,Sync Issues,25.4,1,0,5,0
166,176346,2024-12-12,Email,Onboarding/Setup,4.0,1,0,5,0
167,46583,2024-01-09,Email,Strap Replacement,12.0,1,0,4,0
168,128306,2024-08-27,Email,App Bug,28.2,1,0,5,0
169,189971,2024-05-06,Chat,Onboarding/Setup,10.9,1,0,5,0
170,165093,2024-07-23,Phone,Strap Replacement,9.0,1,0,5,0
171,97487,2024-12-04,Chat,App Bug,24.6,1,0,5,0
172,100537,2024-01-21,Chat,Billing,24.8,1,0,5,0
173,159038,2024-06-06,Chat,App Bug,60.1,1,0,3,0
174,107294,2024-03-07,Chat,Onboarding/Setup,12.6,1,0,5,0
175,108409,2024-07-24,Email,App Bug,39.0,0,0,4,1
176,139759,2024-06-22,Chat,App Bug,69.7,0,0,3,1
177,197493,2024-02-20,Chat,Sync Issues,28.0,1,0,5,0
178,138916,2024-03-24,Email,Battery Drain,59.2,1,0,4,0
179,100734,2024-03-04,Phone,Billing,31.8,1,0,5,0
180,43895,2024-09-11,Phone,Sync Issues,42.9,1,1,4,0
181,57973,2024-10-12,Chat,Shipping Delay,15.6,1,0,5,0
182,185387,2024-09-26,Email,Billing,17.6,1,0,5,0
183,167755,2024-02-16,Chat,Billing,6.8,1,0,5,0
184,44935,2024-08-27,Email,Sync Issues,38.7,1,1,4,0
185,71588,2024-03-05,Chat,Strap Replacement,11.4,1,1,4,0
186,131635,2024-08-13,Chat,Sync Issues,45.1,1,0,5,0
187,127644,2024-08-25,Chat,Billing,11.8,1,0,5,0
188,72472,2024-05-16,Chat,Onboarding/Setup,2.5,1,0,5,0
189,140912,2024-04-06,Email,Strap Replacement,12.7,1,0,4,0
190,56301,2024-02-13,Email,Battery Drain,54.3,0,0,3,1
191,179328,2024-09-06,Phone,Shipping Delay,41.3,0,0,5,1
192,198646,2024-09-07,Email,Strap Replacement,11.2,0,0,4,1
193,54235,2024-11-30,Chat,Strap Replacement,14.9,1,0,5,0
194,135907,2024-09-06,Chat,Sync Issues,41.7,1,1,4,0
195,111063,2024-09-10,Chat,Onboarding/Setup,7.3,1,0,4,0
196,56672,2024-03-23,Email,Billing,25.3,1,0,4,0
197,126063,2024-02-26,Chat,Onboarding/Setup,7.2,1,0,5,0
198,145438,2024-11-18,Chat,Billing,21.6,1,0,5,0
199,101643,2024-09-23,Phone,Sync Issues,37.2,1,0,5,0
200,150531,2024-12-07,Chat,Onboarding/Setup,14.1,1,0,5,0
201,189904,2024-10-13,Chat,Battery Drain,59.0,1,1,2,0
202,72574,2024-12-06,Chat,Shipping Delay,18.2,1,1,3,0
203,72250,2024-01-04,Chat,Battery Drain,35.6,0,1,4,1
204,186633,2024-07-04,Chat,Battery Drain,56.3,1,0,5,0
205,158572,2024-11-18,Phone,Onboarding/Setup,7.3,1,0,5,0
206,193898,2024-09-10,Chat,Shipping Delay,19.8,1,1,4,0
207,152448,2024-02-04,Phone,Billing,23.9,1,0,5,0
208,53085,2024-03-31,Chat,Strap Replacement,5.4,1,1,4,0
209,113909,2024-05-12,Chat,Battery Drain,49.4,1,0,2,0
210,146138,2024-06-15,Email,Sync Issues,49.4,1,0,5,0
211,73544,2024-04-07,Phone,App Bug,49.2,0,0,5,1
212,40381,2024-08-11,Phone,Battery Drain,41.6,1,0,5,0
213,146664,2024-06-01,Chat,Strap Replacement,10.5,1,0,5,0
214,43684,2024-08-26,Email,Battery Drain,40.5,1,0,4,0
215,193443,2024-09-22,Chat,Strap Replacement,16.3,1,0,5,0
216,154529,2024-01-20,Email,App Bug,46.5,1,0,5,0
217,160430,2024-10-31,Phone,Shipping Delay,27.3,1,0,5,0
218,189044,2024-07-25,Email,Battery Drain,64.3,1,1,3,0
219,183874,2024-12-18,Phone,Battery Drain,39.5,1,0,4,0
220,99195,2024-09-27,Chat,Billing,24.8,1,0,5,0
221,73393,2024-06-09,Chat,App Bug,16.2,1,1,4,0
222,62807,2024-02-23,Email,Battery Drain,63.2,1,1,3,0
223,145031,2024-11-11,Chat,Billing,16.1,1,0,5,0
224,56462,2024-10-18,Chat,Sync Issues,49.0,0,1,3,1
225,140417,2024-05-30,Chat,Strap Replacement,10.4,1,0,5,0
226,90759,2024-05-14,Chat,App Bug,40.0,1,1,4,0
227,46107,2024-12-18,Chat,Sync Issues,48.3,0,0,5,1
228,128057,2024-12-26,Phone,App Bug,42.5,1,0,5,0
229,30086,2024-12-01,Phone,Shipping Delay,16.6,1,0,5,0
230,183798,2024-10-18,Chat,Shipping Delay,25.3,1,0,5,0
231,57000,2024-06-17,Email,Strap Replacement,13.3,1,0,5,0
232,149504,2024-08-21,Chat,Shipping Delay,21.0,1,0,3,0
233,112288,2024-10-13,Chat,Billing,17.5,0,0,5,1
234,175913,2024-06-30,Phone,Sync Issues,31.5,1,1,5,0
235,149271,2024-04-17,Email,Strap Replacement,17.6,1,0,4,0
236,151768,2024-09-12,Email,Shipping Delay,18.1,1,0,4,0
237,107241,2024-05-29,Chat,Battery Drain,40.7,1,1,3,0
238,86079,2024-06-10,Chat,Battery Drain,63.3,0,0,3,1
239,19336,2024-03-04,Chat,Shipping Delay,29.2,1,0,5,0
240,190691,2024-08-30,Phone,Billing,23.4,0,0,4,1
241,110432,2024-10-27,Chat,App Bug,26.4,1,0,5,0
242,121406,2024-09-17,Chat,App Bug,42.7,1,0,5,0
243,180620,2024-06-04,Chat,Sync Issues,33.7,1,0,5,0
244,90641,2024-08-28,Email,App Bug,28.9,1,0,4,0
245,8371,2024-12-05,Phone,Strap Replacement,11.1,0,1,3,1
246,135720,2024-07-04,Chat,Battery Drain,31.7,1,1,4,0
247,34631,2024-10-24,Email,Strap Replacement,12.5,1,0,5,0
248,150691,2024-09-15,Email,Sync Issues,55.7,0,0,5,1
249,135842,2024-07-19,Chat,Onboarding/Setup,14.6,1,0,5,0
250,114270,2024-09-10,Phone,Strap Replacement,12.3,1,0,5,0
251,83555,2024-07-06,Chat,Billing,29.3,1,0,5,0
252,96670,2024-04-08,Email,Shipping Delay,18.4,1,0,5,0
253,37421,2024-11-20,Phone,Strap Replacement,18.8,1,0,3,0
254,182777,2024-08-02,Chat,Billing,18.7,1,0,5,0
255,53429,2024-12-28,Chat,Battery Drain,62.3,1,1,4,0
256,101582,2024-08-01,Phone,Shipping Delay,27.8,1,0,5,0
257,17597,2024-02-10,Phone,App Bug,26.8,0,0,5,1
258,107611,2024-01-10,Email,Shipping Delay,19.9,0,0,5,1
259,182919,2024-06-08,Email,Onboarding/Setup,12.5,1,0,4,0
260,187329,2024-11-08,Email,Strap Replacement,12.2,0,0,4,1
261,115266,2024-01-28,Chat,Sync Issues,40.4,0,0,4,1
262,192230,2024-06-16,Email,Sync Issues,28.0,1,0,5,0
263,12748,2024-04-26,Email,Strap Replacement,16.2,1,0,5,0
264,130362,2024-08-21,Chat,App Bug,32.6,1,0,5,0
265,158269,2024-05-20,Chat,Battery Drain,38.7,1,0,5,0
266,85643,2024-03-30,Chat,Strap Replacement,13.1,1,0,5,0
267,100077,2024-07-16,Email,Battery Drain,37.7,1,0,4,0
268,28943,2024-04-08,Chat,Strap Replacement,8.1,1,0,5,0
269,95680,2024-05-05,Email,Sync Issues,36.0,1,0,5,0
270,19900,2024-09-01,Email,Shipping Delay,33.5,1,0,4,0
271,172251,2024-08-12,Chat,Sync Issues,28.7,0,1,3,1
272,60877,2024-10-30,Email,Strap Replacement,17.9,1,0,4,0
273,53382,2024-03-18,Chat,Shipping Delay,17.9,1,0,5,0
274,1993,2024-02-26,Chat,Billing,19.6,1,0,4,0
275,7582,2024-03-20,Chat,Sync Issues,47.7,1,0,5,0
276,169628,2024-10-10,Chat,App Bug,46.3,1,0,5,0
277,74218,2024-02-03,Chat,Sync Issues,28.1,1,0,4,0
278,44742,2024-09-12,Chat,Billing,9.6,1,0,4,0
279,196773,2024-02-27,Chat,Strap Replacement,18.2,1,0,5,0
280,31885,2024-03-18,Email,App Bug,48.2,1,0,4,0
281,20042,2024-08-24,Email,Battery Drain,58.0,1,0,4,0
282,98403,2024-12-31,Chat,Strap Replacement,15.2,1,0,5,0
283,4058,2024-05-05,Email,Billing,24.0,1,0,4,0
284,127847,2024-04-19,Email,Sync Issues,43.2,1,0,5,0
285,30181,2024-03-11,Phone,Battery Drain,63.7,0,0,3,1
286,8069,2024-12-31,Phone,Battery Drain,56.9,0,1,4,1
287,179697,2024-10-08,Chat,Battery Drain,55.0,1,1,2,0
288,25479,2024-04-05,Chat,Billing,22.6,0,0,5,1
289,96627,2024-02-02,Chat,Billing,17.5,1,0,5,0
290,191963,2024-12-22,Chat,Billing,7.1,1,1,3,0
291,194090,2024-01-26,Chat,Battery Drain,56.2,1,0,5,0
292,122010,2024-12-22,Chat,App Bug,46.8,0,0,5,1
293,171366,2024-12-30,Email,Shipping Delay,17.6,1,0,4,0
294,186591,2024-04-13,Phone,Battery Drain,71.6,1,0,4,0
295,133423,2024-09-16,Email,App Bug,55.9,1,1,4,0
296,42177,2024-10-18,Chat,App Bug,36.0,1,0,5,0
297,60623,2024-10-16,Chat,Sync Issues,32.4,0,1,4,1
298,160066,2024-06-04,Chat,Sync Issues,30.0,1,0,5,0
299,191763,2024-12-20,Chat,Battery Drain,51.1,1,0,4,0
300,29265,2024-12-12,Phone,Battery Drain,57.3,1,0,5,0
301,175051,2024-11-23,Chat,Sync Issues,42.4,0,0,4,1
302,124178,2024-09-19,Email,Sync Issues,26.0,1,1,5,0
303,56874,2024-02-06,Email,Strap Replacement,11.3,1,0,5,0
304,160860,2024-07-23,Email,Strap Replacement,7.2,1,1,5,0
305,10294,2024-12-26,Phone,Billing,21.4,1,1,4,0
306,33605,2024-08-16,Chat,Battery Drain,72.1,0,0,3,1
307,142365,2024-11-27,Email,Billing,17.9,0,0,5,1
308,18240,2024-04-02,Phone,Shipping Delay,27.7,1,0,5,0
309,158350,2024-08-20,Chat,Billing,25.9,1,0,5,0
310,129296,2024-11-16,Chat,App Bug,46.2,1,0,5,0
311,119163,2024-01-04,Email,Strap Replacement,8.5,1,0,4,0
312,95809,2024-07-12,Chat,Battery Drain,31.1,1,0,5,0
313,71773,2024-03-08,Email,Billing,20.5,1,1,5,0
314,107609,2024-12-28,Chat,Battery Drain,37.4,1,0,5,0
315,198841,2024-01-13,Chat,Billing,11.2,1,0,5,0
316,138792,2024-07-04,Phone,Strap Replacement,7.9,1,0,5,0
317,155719,2024-06-02,Chat,Billing,10.5,1,0,5,0
318,169423,2024-04-12,Email,App Bug,41.6,1,0,5,0
319,158501,2024-10-13,Chat,Billing,26.9,1,0,5,0
320,127403,2024-08-17,Phone,Strap Replacement,19.9,1,0,5,0
321,173207,2024-04-06,Phone,Billing,23.4,1,0,5,0
322,166203,2024-08-11,Email,Strap Replacement,4.2,1,0,5,0
323,69189,2024-01-16,Phone,Billing,26.6,1,0,4,0
324,194750,2024-08-19,Phone,Billing,28.4,1,0,4,0
325,36635,2024-10-24,Chat,Strap Replacement,12.8,1,0,5,0
326,197791,2024-10-22,Email,Billing,13.1,1,0,5,0
327,2070,2024-10-22,Chat,Battery Drain,43.2,1,0,5,0
328,78539,2024-06-04,Chat,Strap Replacement,12.8,1,0,3,0
329,146147,2024-04-14,Chat,Shipping Delay,28.3,1,0,5,0
330,48356,2024-12-22,Email,Sync Issues,44.2,1,0,5,0
331,43726,2024-12-11,Chat,Battery Drain,53.2,0,0,3,1
332,172553,2024-07-31,Chat,App Bug,33.4,1,0,5,0
333,183204,2024-10-09,Phone,Sync Issues,33.0,0,0,2,1
334,66074,2024-09-07,Chat,App Bug,35.0,1,0,4,0
335,56790,2024-11-03,Phone,Battery Drain,42.1,1,1,5,0
336,161249,2024-06-19,Email,Onboarding/Setup,9.4,1,1,4,0
337,141598,2024-05-21,Email,Sync Issues,28.9,1,1,4,0
338,40332,2024-05-09,Phone,Strap Replacement,15.7,1,0,5,0
339,33424,2024-06-01,Chat,App Bug,50.8,0,0,5,1
340,34979,2024-02-21,Chat,Onboarding/Setup,16.3,1,0,5,0
341,17779,2024-12-22,Phone,Battery Drain,39.2,1,0,4,0
342,86773,2024-02-25,Chat,Strap Replacement,6.0,1,0,4,0
343,183484,2024-04-22,Email,Shipping Delay,9.0,1,0,5,0
344,78358,2024-04-16,Phone,Battery Drain,35.5,1,0,4,0
345,43777,2024-08-15,Chat,App Bug,67.5,1,0,3,0
346,16315,2024-07-09,Chat,Sync Issues,44.3,1,0,5,0
347,155363,2024-09-30,Chat,App Bug,42.0,1,0,4,0
348,191714,2024-03-13,Chat,Shipping Delay,26.6,1,0,5,0
349,32909,2024-04-09,Chat,App Bug,22.1,0,0,5,1
350,64836,2024-09-01,Chat,Battery Drain,31.1,0,0,4,1
351,62989,2024-10-04,Phone,App Bug,81.8,1,0,4,0
352,23146,2024-09-02,Phone,Billing,25.8,1,0,5,0
353,42693,2024-12-31,Chat,App Bug,36.5,1,1,3,0
354,49387,2024-01-21,Email,Sync Issues,56.5,0,0,4,1
355,82336,2024-12-16,Phone,App Bug,44.6,1,0,5,0
356,14623,2024-10-15,Chat,Strap Replacement,15.6,1,1,5,0
357,163261,2024-11-30,Phone,Billing,8.8,0,0,4,1
358,112209,2024-04-15,Email,Strap Replacement,13.0,0,0,5,1
359,139008,2024-10-04,Chat,Sync Issues,28.5,1,1,5,0
360,158787,2024-12-22,Chat,Onboarding/Setup,10.6,1,0,4,0
361,3876,2024-01-18,Email,Sync Issues,37.3,1,0,5,0
362,134014,2024-12-31,Chat,Billing,24.2,1,0,5,0
363,34060,2024-06-07,Email,App Bug,40.0,1,0,5,0
364,79858,2024-01-06,Phone,App Bug,34.6,1,1,3,0
365,189418,2024-01-10,Chat,Onboarding/Setup,12.1,1,0,4,0
366,156951,2024-09-03,Email,Strap Replacement,25.7,1,0,5,0
367,199147,2024-10-15,Chat,Battery Drain,32.3,1,0,5,0
368,83999,2024-09-11,Email,Strap Replacement,8.1,1,0,3,0
369,120761,2024-02-17,Chat,Sync Issues,55.2,1,0,4,0
370,1385,2024-02-08,Email,Billing,14.4,1,0,5,0
371,79410,2024-11-17,Chat,Strap Replacement,16.2,1,0,5,0
372,81505,2024-01-08,Phone,Strap Replacement,13.3,1,0,5,0
373,177547,2024-03-03,Phone,App Bug,29.1,1,0,5,0
374,23167,2024-06-05,Chat,Shipping Delay,31.7,0,0,4,1
375,41404,2024-01-11,Chat,Shipping Delay,19.0,0,0,5,1
376,29505,2024-08-10,Chat,Sync Issues,38.8,0,1,3,1
377,83690,2024-05-20,Chat,Onboarding/Setup,12.6,1,0,5,0
378,28363,2024-08-28,Phone,App Bug,28.3,1,1,4,0
379,107979,2024-05-06,Chat,App Bug,40.1,1,1,4,0
380,59850,2024-05-29,Phone,Sync Issues,27.6,0,0,4,1
381,102976,2024-06-27,Chat,Sync Issues,40.3,1,1,4,0
382,66031,2024-02-17,Chat,Battery Drain,37.1,1,0,5,0
383,186183,2024-02-21,Email,App Bug,59.6,1,1,1,0
384,116127,2024-03-03,Email,Onboarding/Setup,12.8,1,0,5,0
385,76937,2024-01-15,Email,Sync Issues,37.0,1,1,5,0
386,186814,2024-11-23,Chat,Shipping Delay,29.2,0,0,4,1
387,73610,2024-04-19,Chat,App Bug,40.8,1,0,4,0
388,117542,2024-11-04,Phone,Billing,7.2,1,0,5,0
389,156487,2024-06-27,Chat,Sync Issues,36.5,1,0,5,0
390,168702,2024-01-20,Email,Sync Issues,35.5,0,0,4,1
391,169533,2024-12-31,Email,App Bug,61.6,1,1,4,0
392,195714,2024-11-25,Email,Strap Replacement,17.1,1,0,5,0
393,29472,2024-08-30,Chat,App Bug,12.6,1,0,4,0
394,105369,2024-01-07,Chat,App Bug,53.0,1,0,4,0
395,159724,2024-05-27,Chat,Strap Replacement,10.6,1,0,4,0
396,20478,2024-11-15,Chat,App Bug,40.2,1,0,5,0
397,145958,2024-01-01,Phone,Strap Replacement,15.2,1,0,5,0
398,9781,2024-11-03,Email,Onboarding/Setup,12.6,1,0,5,0
399,158520,2024-02-13,Email,Sync Issues,30.7,1,0,5,0
400,168601,2024-06-01,Email,Sync Issues,43.4,1,0,5,0
401,146767,2024-08-30,Chat,Strap Replacement,13.5,1,0,5,0
402,126620,2024-08-27,Chat,App Bug,36.5,1,0,5,0
403,69585,2024-11-20,Chat,Sync Issues,40.7,1,1,5,0
